AÑO,MUERTES,AÑO_ANTERIOR,TASA_MUERTES,TASA_AÑO_ANTERIOR,variacion
2016,65,0,2.11118747474695,0.0,
2017,56,65,1.8188692090127567,2.11118747474695,-13.846153846153852
2018,57,56,1.851349016316556,1.8188692090127567,1.7857142857142891
2019,49,57,1.5915105578861621,1.851349016316556,-14.035087719298248
2020,28,49,0.9094346045063784,1.5915105578861621,-42.857142857142854
2021,46,28,1.4940711359747645,0.9094346045063784,64.28571428571429
